========================================================================================
Trioron 2.0 Axis 6 — real-substrate, n=3 seeds
H_init=4  mode=absolute  k=1.0  floor=0.005  b_thr=1.0  sigma=1.5  dt=0.1  tol=0.0  spawn_cap=3  cooldown=50  credit_thr=0.1
========================================================================================
  [XOR] epoch 300: loss=0.3208  acc=0.913  H=8  epi_A_max=0.017  epi_B_max=1.286
  [XOR] epoch 399: loss=0.3202  acc=0.910  H=8  epi_A_max=0.027  epi_B_max=1.304
  [rings] epoch   0: loss=1.0336  acc=0.327  H=8  epi_A_max=0.000  epi_B_max=0.130
  [rings] epoch 100: loss=0.3087  acc=0.950  H=10  epi_A_max=0.009  epi_B_max=1.304
  [rings] epoch 200: loss=0.2889  acc=0.960  H=11  epi_A_max=0.022  epi_B_max=1.305
  [rings] epoch 300: loss=0.2730  acc=0.950  H=11  epi_A_max=0.038  epi_B_max=1.305
  [rings] epoch 399: loss=0.2646  acc=0.940  H=11  epi_A_max=0.057  epi_B_max=1.373
  [diamond] epoch   0: loss=1.6329  acc=0.210  H=11  epi_A_max=0.000  epi_B_max=0.139
  [diamond] epoch 100: loss=0.2941  acc=0.930  H=13  epi_A_max=0.013  epi_B_max=1.388
  [diamond] epoch 200: loss=0.2813  acc=0.940  H=14  epi_A_max=0.021  epi_B_max=1.388
  [diamond] epoch 300: loss=0.2545  acc=0.943  H=14  epi_A_max=0.027  epi_B_max=1.388
  [diamond] epoch 399: loss=0.2489  acc=0.937  H=14  epi_A_max=0.034  epi_B_max=1.388
  [stripe] epoch   0: loss=2.5537  acc=0.203  H=14  epi_A_max=0.000  epi_B_max=0.139
  [stripe] epoch 100: loss=0.2422  acc=0.967  H=15  epi_A_max=0.005  epi_B_max=1.388
  [stripe] epoch 200: loss=0.1763  acc=0.973  H=17  epi_A_max=0.008  epi_B_max=1.388
  [stripe] epoch 300: loss=0.1084  acc=0.990  H=17  epi_A_max=0.011  epi_B_max=1.388
  [stripe] epoch 399: loss=0.0970  acc=0.983  H=17  epi_A_max=0.014  epi_B_max=1.388
[seed 1  arm AXIS6_credit    ]  max|drift|=0.230  sum_final=4.510  H=17  spawns=13  frozen=14
  [linear] epoch   0: loss=0.9176  acc=0.677  H=4  epi_A_max=0.000  epi_B_max=0.000
  [linear] epoch 100: loss=0.2378  acc=0.970  H=4  epi_A_max=0.000  epi_B_max=0.000
  [linear] epoch 199: loss=0.2372  acc=0.970  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch   0: loss=0.9686  acc=0.513  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 100: loss=0.2889  acc=0.943  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 200: loss=0.2760  acc=0.947  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 300: loss=0.2703  acc=0.953  H=4  epi_A_max=0.000  epi_B_max=0.000
  [XOR] epoch 399: loss=0.2685  acc=0.953  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch   0: loss=1.0507  acc=0.420  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch 100: loss=0.4666  acc=0.837  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch 200: loss=0.2878  acc=0.953  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch 300: loss=0.2873  acc=0.953  H=4  epi_A_max=0.000  epi_B_max=0.000
  [rings] epoch 399: loss=0.2873  acc=0.953  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch   0: loss=4.2506  acc=0.247  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch 100: loss=0.3500  acc=0.917  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch 200: loss=0.3203  acc=0.953  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch 300: loss=0.3151  acc=0.947  H=4  epi_A_max=0.000  epi_B_max=0.000
  [diamond] epoch 399: loss=0.3150  acc=0.950  H=4  epi_A_max=0.000  epi_B_max=0.000
